======================================================================
com.apple.WebKit.GPU [75441]: 64-bit    Footprint: 16 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
7904 KB        0 B          0 B        760    MALLOC_SMALL
1856 KB        0 B          0 B          5    WebKit malloc
1216 KB        0 B          0 B          8    IOAccelerator (graphics)
1127 KB        0 B          0 B        476    __DATA_DIRTY
 961 KB        0 B          0 B          1    page table
 582 KB        0 B          0 B        513    __DATA
 480 KB        0 B          0 B         14    stack
 448 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         19    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1455    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B          3    IOAccelerator
 112 KB        0 B          0 B        562    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B          1    CoreAnimation
    0 B        0 B       185 MB        109    IOSurface
    0 B    1552 KB          0 B        582    __TEXT
    0 B     480 KB          0 B         17    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        181    guard
    ---        ---          ---        ---    ---
  16 MB    2032 KB       185 MB       5636    TOTAL

Auxiliary data:
    phys_footprint: 16 MB
    phys_footprint_peak: 191 MB

