======================================================================
com.apple.WebKit.GPU [62123]: 64-bit    Footprint: 92 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  57 MB        0 B          0 B         52    Owned physical footprint (unmapped) (graphics)
  12 MB        0 B        96 KB        724    MALLOC_SMALL
  10 MB        0 B          0 B        244    IOAccelerator (graphics)
3968 KB        0 B          0 B         31    Owned physical footprint (unmapped)
2336 KB        0 B        80 KB          5    WebKit malloc
1490 KB        0 B          0 B          1    page table
1127 KB        0 B          0 B        477    __DATA_DIRTY
 688 KB        0 B          0 B         24    stack
 582 KB        0 B          0 B        515    __DATA
 448 KB        0 B          0 B         10    MALLOC metadata
 352 KB        0 B          0 B         17    CoreAnimation
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         18    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1457    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B          4    IOAccelerator
 112 KB        0 B          0 B        561    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       463 MB        258    IOSurface
    0 B    1408 KB          0 B        582    __TEXT
    0 B     384 KB          0 B         18    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        433    guard
    ---        ---          ---        ---    ---
  92 MB    1792 KB       464 MB       6352    TOTAL

Auxiliary data:
    phys_footprint: 92 MB
    phys_footprint_peak: 149 MB

