======================================================================
com.apple.WebKit.GPU [34038]: 64-bit    Footprint: 64 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  38 MB        0 B          0 B         32    CoreAnimation
  12 MB        0 B        32 KB        764    MALLOC_SMALL
2944 KB        0 B          0 B         46    Owned physical footprint (unmapped) (graphics)
2624 KB        0 B          0 B         65    IOAccelerator (graphics)
2048 KB        0 B       160 KB          5    WebKit malloc
1330 KB        0 B          0 B          1    page table
1127 KB        0 B          0 B        477    __DATA_DIRTY
 582 KB        0 B          0 B        515    __DATA
 512 KB        0 B          0 B         20    stack
 448 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         21    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1457    unused dyld shared cache area
 160 KB        0 B          0 B          4    IOAccelerator
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B        561    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       356 MB        118    IOSurface
    0 B    1216 KB          0 B        582    __TEXT
    0 B     656 KB          0 B         18    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        263    guard
    0 B        0 B          0 B         64    Owned physical footprint (unmapped)
    ---        ---          ---        ---    ---
  64 MB    1872 KB       357 MB       5944    TOTAL

Auxiliary data:
    phys_footprint: 64 MB
    phys_footprint_peak: 266 MB

