======================================================================
com.apple.WebKit.WebContent [62125]: 64-bit    Footprint: 442 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
 369 MB        0 B        92 MB        227    Owned physical footprint (unmapped) (graphics)
  53 MB        0 B       848 KB          9    WebKit malloc
5360 KB        0 B       256 KB        498    MALLOC_SMALL
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
2992 KB        0 B          0 B          3    JS JIT generated code
2272 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
1271 KB        0 B          0 B        540    __DATA_DIRTY
 864 KB        0 B          0 B        545    JS VM Gigacage
 801 KB        0 B          0 B        580    __DATA
 545 KB        0 B          0 B          1    page table
 400 KB        0 B        32 KB         16    stack
 400 KB        0 B          0 B          9    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 202 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B        630    __DATA_CONST
    0 B        0 B        16 KB          2    ImageIO
    0 B    1744 KB          0 B         24    mapped file
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         50    guard
    0 B        0 B          0 B        626    __AUTH_CONST
    ---        ---          ---        ---    ---
 442 MB    1744 KB        93 MB       6344    TOTAL

Auxiliary data:
    phys_footprint: 442 MB
    phys_footprint_peak: 782 MB

