======================================================================
aidog [27413]: 64-bit    Footprint: 59 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  30 MB        0 B          0 B         28    MALLOC_SMALL
8208 KB        0 B          0 B          1    CG image
4304 KB        0 B          0 B         83    stack
2800 KB        0 B          0 B          6    WebKit malloc
2251 KB        0 B          0 B        881    __DATA_DIRTY
1968 KB        0 B          0 B       1033    __DATA_CONST
1371 KB        0 B          0 B        977    __DATA
1264 KB        0 B          0 B          2    Foundation
1152 KB        0 B          0 B         13    MALLOC metadata
1152 KB        0 B          0 B         64    CoreAnimation
1120 KB        0 B          0 B        112    untagged (VM_ALLOCATE)
 865 KB        0 B          0 B          1    page table
 624 KB        0 B          0 B          2    CoreServices
 528 KB        0 B          0 B          4    CoreUI image data
 426 KB        0 B          0 B        636    __AUTH
 383 KB        0 B          0 B       2539    unused dyld shared cache area
 320 KB        0 B          0 B          1    MALLOC_TINY
 128 KB        0 B        53 MB         62    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1025    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          8    IOKit
  48 KB        0 B          0 B          3    ColorSync
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B        16 KB          2    ImageIO
    0 B    6064 KB          0 B       1055    __TEXT
    0 B    2016 KB          0 B         60    mapped file
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          1    MALLOC_LARGE
    0 B        0 B          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  59 MB    8080 KB        53 MB       8660    TOTAL

Auxiliary data:
    phys_footprint: 59 MB
    phys_footprint_peak: 69 MB

